,Date,CASAGRC1,BBVAC1,GLORIA,Unnamed: 4
0,2018-01-02,6.19,4.15,6.5,
1,2018-01-03,6.1,4.25,6.5,
2,2018-01-04,6.0,4.26,6.5,
3,2018-01-05,6.11,4.31,6.5,
4,2018-01-08,6.1,4.38,6.5,
5,2018-01-09,6.1,4.35,6.5,
6,2018-01-10,6.03,4.35,6.5,
7,2018-01-11,6.03,4.36,6.5,
8,2018-01-12,6.01,4.39,6.5,
9,2018-01-16,6.03,4.31,6.5,
10,2018-01-17,5.95,4.38,6.5,
11,2018-01-18,5.9,4.38,6.5,
12,2018-01-19,5.76,4.38,6.5,
13,2018-01-22,5.77,4.29,6.5,
14,2018-01-23,5.77,4.29,6.5,
15,2018-01-24,5.73,4.32,6.5,
16,2018-01-25,5.73,4.37,6.5,
17,2018-01-26,5.7,4.38,6.5,
18,2018-01-29,5.8,4.38,6.05,
19,2018-01-30,6.0,4.36,6.05,
20,2018-01-31,6.0,4.31,6.05,
21,2018-02-01,5.99,4.36,6.05,
22,2018-02-02,6.0,4.4,6.05,
23,2018-02-05,5.99,4.37,6.05,
24,2018-02-06,5.99,4.25,6.05,
25,2018-02-07,6.0,4.35,6.05,
26,2018-02-08,5.65,4.35,6.05,
27,2018-02-09,5.66,4.35,6.05,
28,2018-02-12,5.56,4.29,6.15,
29,2018-02-13,5.56,4.34,6.15,
30,2018-02-14,5.56,4.32,6.15,
31,2018-02-15,5.56,4.32,6.15,
32,2018-02-16,5.5,4.31,6.15,
33,2018-02-19,5.5,4.31,6.15,
34,2018-02-20,5.5,4.32,6.15,
35,2018-02-21,5.5,4.31,6.15,
36,2018-02-22,5.58,4.31,6.15,
37,2018-02-23,5.56,4.25,6.15,
38,2018-02-26,5.62,4.22,6.15,
39,2018-02-27,5.68,4.18,6.15,
40,2018-02-28,5.81,4.25,6.15,
41,2018-03-01,5.63,4.25,6.15,
42,2018-03-02,5.63,4.25,6.15,
43,2018-03-05,5.69,4.35,6.15,
44,2018-03-06,5.69,4.3,6.15,
45,2018-03-07,5.69,4.25,6.15,
46,2018-03-08,5.69,4.35,6.15,
47,2018-03-09,5.63,4.35,6.07,
48,2018-03-12,5.63,4.39,6.08,
49,2018-03-13,5.55,4.35,6.08,
50,2018-03-14,5.55,4.35,6.08,
51,2018-03-15,5.55,4.35,6.08,
52,2018-03-16,5.55,4.21,6.08,
53,2018-03-19,5.5,4.2,6.08,
54,2018-03-20,5.37,4.2,6.08,
55,2018-03-21,5.45,4.12,6.08,
56,2018-03-22,5.42,4.15,6.08,
57,2018-03-23,5.4,4.25,6.08,
58,2018-03-26,5.5,4.26,6.08,
59,2018-03-27,5.5,4.25,6.0,
60,2018-03-28,5.57,4.3,6.0,
61,2018-04-02,5.6,4.35,6.0,
62,2018-04-03,5.45,4.4,6.0,
63,2018-04-04,5.45,4.4,6.0,
64,2018-04-05,5.55,4.49,6.0,
65,2018-04-06,5.45,4.5,6.0,
66,2018-04-09,5.4,4.5,6.0,
67,2018-04-10,5.4,4.5,6.0,
68,2018-04-11,5.45,4.45,7.0,
69,2018-04-12,5.45,4.44,7.0,
70,2018-04-16,5.45,4.42,7.0,
71,2018-04-17,5.5,4.42,7.0,
72,2018-04-18,5.6,4.34,7.0,
73,2018-04-19,5.5,4.34,7.0,
74,2018-04-20,5.6,4.35,7.0,
75,2018-04-23,5.65,4.35,7.1,
76,2018-04-24,5.6,4.45,7.55,
77,2018-04-25,5.6,4.39,7.55,
78,2018-04-26,5.45,4.48,7.55,
79,2018-04-27,5.75,4.5,8.02,
80,2018-04-30,5.55,4.5,8.02,
81,2018-05-02,5.53,4.5,8.02,
82,2018-05-03,5.4,4.54,8.02,
83,2018-05-04,5.22,4.54,8.0,
84,2018-05-07,5.2,4.5,8.0,
85,2018-05-08,5.2,4.56,7.37,
86,2018-05-09,5.2,4.55,7.37,
87,2018-05-10,5.01,4.57,7.37,
88,2018-05-11,5.1,4.55,7.37,
89,2018-05-14,5.25,4.56,7.37,
90,2018-05-15,5.25,4.55,7.37,
91,2018-05-16,5.19,4.56,7.37,
92,2018-05-17,5.3,4.56,7.37,
93,2018-05-18,5.35,4.5,7.37,
94,2018-05-21,5.3,4.45,7.37,
95,2018-05-22,5.3,4.5,7.37,
96,2018-05-23,5.35,4.49,7.37,
97,2018-05-24,5.3,4.52,7.37,
98,2018-05-25,5.25,4.55,7.37,
99,2018-05-28,5.3,4.5,7.38,
100,2018-05-29,5.3,4.54,7.38,
101,2018-05-30,5.3,4.5,7.38,
102,2018-05-31,5.3,4.45,7.38,
103,2018-06-01,5.19,4.46,7.38,
104,2018-06-04,5.17,4.55,7.38,
105,2018-06-05,5.01,4.64,7.38,
106,2018-06-06,5.01,4.65,7.38,
107,2018-06-07,5.0,4.6,7.38,
108,2018-06-08,5.0,4.55,7.38,
109,2018-06-11,5.01,4.55,7.38,
110,2018-06-12,5.0,4.54,7.38,
111,2018-06-13,5.0,4.56,7.38,
112,2018-06-14,5.0,4.6,7.38,
113,2018-06-15,5.0,4.56,7.38,
114,2018-06-18,5.0,4.58,7.38,
115,2018-06-19,5.0,4.62,7.38,
116,2018-06-20,5.0,4.18,7.38,
117,2018-06-21,5.0,4.23,7.38,
118,2018-06-22,4.95,4.2,7.38,
119,2018-06-25,4.73,4.27,7.39,
120,2018-06-26,4.34,4.14,7.39,
121,2018-06-27,4.25,4.2,7.39,
122,2018-06-28,4.2,4.25,7.39,
123,2018-07-02,4.18,4.17,7.39,
124,2018-07-03,4.12,4.2,7.39,
125,2018-07-04,4.08,4.21,7.39,
126,2018-07-05,4.08,4.19,7.39,
127,2018-07-06,3.96,4.12,7.39,
128,2018-07-09,4.01,4.1,7.39,
129,2018-07-10,4.15,4.1,7.39,
130,2018-07-11,4.15,4.1,7.4,
131,2018-07-12,4.0,4.1,7.4,
132,2018-07-13,4.0,4.24,7.4,
133,2018-07-16,4.0,4.24,7.4,
134,2018-07-17,4.0,4.24,7.4,
135,2018-07-18,4.15,4.15,7.4,
136,2018-07-19,4.16,4.15,7.89,
137,2018-07-20,4.2,4.15,7.89,
138,2018-07-23,4.19,4.17,7.4,
139,2018-07-24,4.35,4.25,7.4,
140,2018-07-25,4.35,4.2,7.4,
141,2018-07-26,4.25,4.2,7.4,
142,2018-07-27,4.21,4.1,7.4,
143,2018-07-30,4.23,4.1,7.4,
144,2018-07-31,4.23,4.15,7.4,
145,2018-08-01,4.18,4.15,7.4,
146,2018-08-02,4.18,4.15,7.4,
147,2018-08-03,4.18,4.1,7.4,
148,2018-08-06,4.1,4.11,7.4,
149,2018-08-07,4.0,4.11,7.4,
150,2018-08-08,3.85,4.1,7.4,
151,2018-08-09,3.85,4.1,7.3,
152,2018-08-10,3.86,4.05,7.3,
153,2018-08-13,3.8,4.05,7.3,
154,2018-08-14,3.8,4.03,7.3,
155,2018-08-15,3.8,4.05,7.3,
156,2018-08-16,3.7,4.03,7.3,
157,2018-08-17,3.8,4.06,7.3,
158,2018-08-20,3.8,4.09,7.3,
159,2018-08-21,3.8,4.09,7.3,
160,2018-08-22,3.8,4.1,7.3,
161,2018-08-23,3.8,4.1,7.0,
162,2018-08-24,3.8,4.1,7.0,
163,2018-08-27,3.79,4.11,7.0,
164,2018-08-28,3.79,4.15,7.0,
165,2018-08-29,3.9,4.07,7.0,
166,2018-08-31,3.9,4.1,7.0,
167,2018-09-03,3.9,4.2,7.0,
168,2018-09-04,3.9,4.24,7.0,
169,2018-09-05,3.7,4.1,7.0,
170,2018-09-06,3.7,4.16,7.0,
171,2018-09-07,3.6,4.14,7.0,
172,2018-09-10,3.7,4.16,7.0,
173,2018-09-11,3.8,4.16,7.0,
174,2018-09-12,3.9,4.16,7.0,
175,2018-09-13,3.9,4.12,7.0,
176,2018-09-14,3.6,4.09,7.0,
177,2018-09-17,3.65,4.05,7.0,
178,2018-09-18,3.65,4.0,7.0,
179,2018-09-19,3.65,4.0,7.0,
180,2018-09-20,3.9,4.0,7.0,
181,2018-09-21,3.8,4.05,7.0,
182,2018-09-24,3.8,4.05,7.0,
183,2018-09-25,3.8,4.0,7.0,
184,2018-09-26,3.9,3.97,7.0,
185,2018-09-27,3.9,3.97,7.0,
186,2018-09-28,3.85,3.98,7.0,
187,2018-10-01,3.85,3.98,7.0,
188,2018-10-02,4.0,3.98,7.0,
189,2018-10-03,4.0,3.99,7.0,
190,2018-10-04,4.15,3.98,7.0,
191,2018-10-05,4.15,3.98,7.0,
192,2018-10-09,4.0,3.98,7.0,
193,2018-10-10,4.0,3.93,7.0,
194,2018-10-11,3.9,3.95,7.0,
195,2018-10-12,3.9,3.95,7.0,
196,2018-10-15,4.0,3.95,7.0,
197,2018-10-16,4.0,3.98,7.0,
198,2018-10-17,4.0,3.98,7.08,
199,2018-10-18,3.95,3.98,7.0,
200,2018-10-19,3.93,3.98,7.0,
201,2018-10-22,3.75,3.99,7.0,
202,2018-10-23,3.79,4.04,7.0,
203,2018-10-24,3.75,4.05,7.0,
204,2018-10-25,3.75,4.07,7.0,
205,2018-10-26,3.75,4.0,7.0,
206,2018-10-29,3.75,3.99,7.0,
207,2018-10-30,3.85,3.99,7.0,
208,2018-10-31,3.85,3.98,7.0,
209,2018-11-02,3.85,3.96,7.0,
210,2018-11-05,3.8,3.98,7.0,
211,2018-11-06,3.8,3.95,7.0,
212,2018-11-07,3.9,3.88,7.0,
213,2018-11-08,3.9,3.86,7.0,
214,2018-11-09,3.9,3.85,7.0,
215,2018-11-12,3.9,3.8,7.0,
216,2018-11-13,3.9,3.75,7.0,
217,2018-11-14,3.89,3.68,7.0,
218,2018-11-15,3.9,3.67,7.0,
219,2018-11-16,3.95,3.95,7.0,
220,2018-11-19,4.0,3.89,6.9,
221,2018-11-20,4.0,3.85,6.9,
222,2018-11-21,4.0,3.7,6.9,
223,2018-11-22,4.1,3.7,6.9,
224,2018-11-23,4.0,3.8,6.9,
225,2018-11-26,4.0,3.83,6.9,
226,2018-11-27,4.1,3.85,6.9,
227,2018-11-28,4.0,3.84,6.9,
228,2018-11-29,4.1,3.9,6.9,
229,2018-11-30,4.09,3.91,6.9,
230,2018-12-03,4.08,3.91,6.9,
231,2018-12-04,4.08,3.9,6.9,
232,2018-12-05,4.08,3.9,6.9,
233,2018-12-06,4.08,3.9,6.9,
234,2018-12-07,4.0,3.9,6.9,
235,2018-12-10,4.0,3.95,6.9,
236,2018-12-11,4.0,3.91,6.9,
237,2018-12-12,4.0,3.9,6.9,
238,2018-12-13,4.0,3.95,6.9,
239,2018-12-14,3.95,3.95,6.9,
240,2018-12-17,3.94,3.95,6.9,
241,2018-12-18,3.93,3.95,6.9,
242,2018-12-19,3.92,3.95,6.9,
243,2018-12-20,3.92,3.95,6.9,
244,2018-12-21,3.8,3.95,6.9,
245,2018-12-24,3.7,3.87,6.9,
246,2018-12-26,3.8,3.87,6.9,
247,2018-12-27,3.9,3.87,6.9,
248,2018-12-28,4.06,3.9,6.9,
249,2018-12-31,4.06,3.95,6.9,
250,2019-01-02,4.06,3.95,6.9,
251,2019-01-03,4.06,3.9,6.9,
252,2019-01-04,4.06,3.85,6.9,
253,2019-01-07,4.06,3.85,6.9,
254,2019-01-08,4.11,3.75,6.9,
255,2019-01-09,4.11,3.7,6.9,
256,2019-01-10,4.11,3.8,6.9,
257,2019-01-11,4.11,3.85,6.9,
258,2019-01-14,4.11,3.8,6.9,
259,2019-01-15,4.11,3.8,6.9,
260,2019-01-16,4.1,3.82,6.9,
261,2019-01-17,4.1,3.82,6.9,
262,2019-01-18,4.11,3.85,6.9,
263,2019-01-21,4.1,3.8,6.9,
264,2019-01-22,4.1,3.8,6.9,
265,2019-01-23,4.09,3.8,6.9,
266,2019-01-24,3.99,3.8,6.9,
267,2019-01-25,3.95,3.82,6.9,
268,2019-01-28,3.95,3.82,6.9,
269,2019-01-29,3.95,3.8,6.9,
270,2019-01-30,4.0,3.8,6.9,
271,2019-01-31,4.0,3.8,6.9,
272,2019-02-01,4.1,3.85,6.9,
273,2019-02-04,4.0,3.9,6.9,
274,2019-02-05,4.0,3.88,6.9,
275,2019-02-06,4.0,3.88,6.9,
276,2019-02-07,4.0,3.9,6.9,
277,2019-02-08,4.0,3.95,6.9,
278,2019-02-11,3.99,3.95,6.9,
279,2019-02-12,3.98,3.89,6.9,
280,2019-02-13,4.0,3.89,6.9,
281,2019-02-14,3.99,3.89,6.9,
282,2019-02-15,4.0,3.8,6.9,
283,2019-02-18,3.95,3.81,6.9,
284,2019-02-19,3.95,3.8,6.9,
285,2019-02-20,3.94,3.8,6.9,
286,2019-02-21,3.95,3.8,6.9,
287,2019-02-22,3.93,3.8,6.9,
288,2019-02-25,3.92,3.8,6.9,
289,2019-02-26,3.92,3.72,6.9,
290,2019-02-27,3.93,3.72,6.9,
291,2019-02-28,3.95,3.74,6.9,
292,2019-03-01,4.0,3.88,6.9,
293,2019-03-04,4.0,3.9,6.9,
294,2019-03-05,4.0,3.9,6.9,
295,2019-03-06,4.0,3.95,6.9,
296,2019-03-07,3.98,3.9,6.9,
297,2019-03-08,4.0,3.94,6.9,
298,2019-03-11,3.98,3.9,6.9,
299,2019-03-12,3.99,3.86,6.9,
300,2019-03-13,3.98,3.89,6.9,
301,2019-03-14,3.95,3.9,6.9,
302,2019-03-15,3.99,3.9,6.9,
